
#old file list pre-2018 CCH1 alter names
#Sidalcea malviflora var. sparsifolia	Sidalcea malviflora subsp. sparsifolia	NO VAR COMB for sparsifolia; TROPICOS; ICPN indicates this var. is published, leave in but comment out now
Arctostaphylos glaucaformapuberula	Arctostaphylos glauca f. puberula
Arctostaphylos insularis f. insularis	Arctostaphylos insularis f.insularis
Arctostaphylos insularis f.pubescens	Arctostaphylos insularis f. pubescens
Arctostaphylos insularisf. pubescens	Arctostaphylos insularis f. pubescens
Arctostaphylos insularisf.insularis	Arctostaphylos insularis f.insularis
Arctostaphylos insularisf.pubescens	Arctostaphylos insularis f. pubescens
Arctostaphylos monteryensis	Arctostaphylos montereyensis
Arctostaphylos myricifolia	Arctostaphylos myrtifolia
Arctostaphylos nisseniana	Arctostaphylos nissenana
Arctostaphylos parryana var. deserticum	Arctostaphylos parryana subsp. deserticum	NO VAR COMB FOR deserticum; TROPICOS
Arctostaphylos patula var. gambini	Arctostaphylos patula var. gankinii
Arctostaphylos patula var. gankini	Arctostaphylos patula var. gankinii
Arctostaphylos patula var. gankinii	Arctostaphylos patula subsp. gankinii	NO VAR COMB for gankinii; TROPICOS
Arctostaphylos pechoensis subsp. cruzensis	Arctostaphylos pechoensis var. cruzensis	NO SUBSP COMB for cruzensis; TROPICOS
Arctostaphylos pechoensis subsp. viridissima	Arctostaphylos pechoensis var. viridissima	NO SUBSP COMB for viridissima; TROPICOS
Arctostaphylos pringlei subsp. drupaceae	Arctostaphylos pringlei subsp. drupacea
Arctostaphylos pungens var. ranvenii	Arctostaphylos pungens var. ravenii
Arctostaphylos setosissimus	Arctostaphylos setosissima
Arctostaphylos silvacola	Arctostaphylos silvicola
Arctostaphylos sp. nova	Arctostaphylos
Arctostaphylos standfordiana subsp. decumbens	Arctostaphylos stanfordiana subsp. decumbens
Arctostaphylos standordiana	Arctostaphylos stanfordiana
Arctostaphylos subsp. knightii	Arctostaphylos knightii
Arctostaphylos tomentosa f. hebecla	Arctostaphylos tomentosa f. hebeclada
Arctostaphylos tomentosa subsp. crustaceae	Arctostaphylos tomentosa subsp. crustacea
Arctostaphylos x pacifica	Arctostaphylos X pacifica
Arctostaphylos x repens	Arctostaphylos X repens
Arctostaphylos xcinerea	Arctostaphylos X cinerea
Arctostaphylos xcinerea Howell	Arctostaphylos X cinerea
Arctostaphylos xmedia	Arctostaphylos X media
Arctostaphylos xmedia Greene	Arctostaphylos X media
Arctostaphylos zaeaensis	Arctostaphylos zacaensis
Arenaria conjesta var. crassula	Arenaria congesta var. crassula
Arenaria dougalsii	Arenaria douglasii
Arenaria douglassi	Arenaria douglasii
Arenaria languginosa var. saxosa	Arenaria lanuginosa var. saxosa
Arenaria macradenia var. ferrisae	Arenaria macradenia subsp. ferrisiae	NO VAR COMB FOR THIS TAXON; TROPICOS
Arenaria macradenia var. ferrisiae	Arenaria macradenia subsp. ferrisiae	NO VAR COMB FOR ferrisiae; TROPICOS
Arenaria macradenia var. macadenia	Arenaria macradenia var. macradenia
Arenaria macradenia var.arcuifolia	Arenaria macradenia var. arcuifolia
Arenaria macrdenia	Arenaria macradenia
Arenaria macrophllya	Arenaria macrophylla
Arenaria marcradenia	Arenaria macradenia
Arenaria nuttalli var. gracilis	Arenaria nuttallii var. gracilis
Argemone munita .	Argemone munita
Argemone munita subsp.	Argemone munita
Argyranthemum foeniculum	Argyranthemum foeniculaceum
Argyrantheum foeniculaceum	Argyranthemum foeniculaceum
Argythamnia Lanceolata	Argythamnia lanceolata
Aristida adscencionis	Aristida adscensionis
Aristida adscensiones	Aristida adscensionis
Aristida adsenciones	Aristida adscensionis
Aristida adsencionis	Aristida adscensionis
Aristida pupurea var. nealleyi	Aristida purpurea var. nealleyi
Aristida purpurea var. nealeyi	Aristida purpurea var. nealleyi
Aristida purpurea var. neallyi	Aristida purpurea var. nealleyi
Aristida reverchoni	Aristida reverchonii
Aristotelia maqui	Aristotelia macqui
Arnica chamissionis	Arnica chamissonis
Arnica chamissionis var. incana	Arnica chamissonis var. incana
Arnica discodea	Arnica discoidea
Arnica eastwoodii	Arnica eastwoodiae
Arnica spathulata subsp. eastwoodii	Arnica spathulata subsp. eastwoodiae
Arrhenatherum elatinus	Arrhenatherum elatius
Artemesia californica	Artemisia californica
Artemesia douglasiana	Artemisia douglasiana
Artemesia dracunculus	Artemisia dracunculus
Artemesia heterophylla	Artemisia heterophylla
Artemisaia tridentata var. vaseyana	Artemisia tridentata var. vaseyana
Artemisia drancunculus	Artemisia dracunculus
Artemisia dranunculus	Artemisia dracunculus
Artemisia heterophyllum	Artemisia heterophylla
Artemisia ludoviciana subsp. incomptu	Artemisia ludoviciana subsp. incompta
Artemisia ludoviciana subsp. lucoviciana	Artemisia ludoviciana subsp. ludoviciana
Artemisia norvegica subsp. saxitalis	Artemisia norvegica subsp. saxatilis
Artemisia norvegica var. saxatalis	Artemisia norvegica var. saxatilis
Artemisia norvegica var. saxitalis	Artemisia norvegica var. saxatilis
Artemisia spinescens var. spinescens	Artemisia spinescens	NO VAR COMB
Artemisia tridentata subsp. gray	Artemisia tridentata
Artemisia tridentata subsp. tridfentata	Artemisia tridentata subsp. tridentata
Artemisia tridentata var.	Artemisia tridentata
Arthrocnemum subterminalis	Arthrocnemum subterminale
Artiplex canescens var. canescens	Atriplex canescens var. canescens
Artistida purpurea var. nealleyi	Aristida purpurea var. nealleyi
Arum palestinum	Arum palaestinum
Aruncus dioicus var. accuminatus	Aruncus dioicus var. acuminatus
Asarina antirrhinifolia	Asarina antirrhiniflora
Asclepias fascicularia	Asclepias fascicularis
Asclepias fasicularis	Asclepias fascicularis
Asclepias fruticosa subsp. fruticosa	Asclepias fruticosa var. fruticosa	NO SUBSP COMB for fruticosa; TROPICOS
Asclepios erosa	Asclepias erosa
Asparagus officinalis subsp. officionalis	Asparagus officinalis subsp. officinalis
Asparagus Pitaceus	Asparagus setaceus
Asparagus spregeri	Asparagus sprengeri
